station_number,latitude,longitude,county,locality,address,institution
58,46.09788096440059,22.820768667704886,JUDEŢUL HUNEDOARA,RUDA-BRAD,"UAT: MUNICIPIUL BRAD, Localitate: RUDA-BRAD, Nr: 20 Etaj: Parter  Rampa: Da",Căminul Cultural Ruda-Brad
226,44.91774311710518,25.77192225493429,JUDEŢUL DÂMBOVIŢA,DĂRMĂNEŞTI,"UAT: DĂRMĂNEŞTI, Localitate: DĂRMĂNEŞTI, Artera: Strada Dumitru Popescu, Nr: 2 Etaj: Parter  Rampa: Da",ȘCOALA GIMNAZIALĂ DĂRMĂNEȘTI
210,47.575608462193806,26.731182473031982,JUDEŢUL BOTOŞANI,ONEAGA,"UAT: CRISTEŞTI, Localitate: ONEAGA Etaj: Parter  Rampa: Da",Scoala Gimnaziala nr. 2 Sat Oneaga
193,44.193140999999976,26.511926999999986,JUDEŢUL CĂLĂRAŞI,RADOVANU,"UAT: RADOVANU, Localitate: RADOVANU, Artera: Strada Principală, Nr: 154 Etaj: Parter  Rampa: Da",Școala Gimnazială ”Dimitrie Ion Ghica ”
226,44.97915041218121,22.99558317288564,JUDEŢUL GORJ,PÂRÂU DE VALE,"UAT: GODINEŞTI, Localitate: PÂRÂU DE VALE, Artera: Strada Principală, Nr: 86 Etaj: Parter  Rampa: Da",ȘCOALA PÎRÎU DE VALE
179,46.799004761767904,21.64659265891651,JUDEŢUL BIHOR,SALONTA,"UAT: MUNICIPIUL SALONTA, Localitate: SALONTA, Artera: Strada Olimpiadei (Strada Steagul Roşu), Nr: 32 Etaj: Parter  Rampa: Da",GRĂDINIȚA PRICHINDEL
251,44.831878908659114,23.08932834478352,JUDEŢUL GORJ,CROICI,"UAT: MĂTĂSARI, Localitate: CROICI, Artera: Strada Principală, Nr: 74 Etaj: Parter  Rampa: Da",ŞCOALA PRIMARĂ CROICI
276,47.29945177851333,23.18408496669072,JUDEŢUL SĂLAJ,ŞOIMUŞ,"UAT: SOMEŞ-ODORHEI, Localitate: ŞOIMUŞ, Nr: 31 Etaj: Parter  Rampa: Da",CĂMINUL CULTURAL ȘOIMUȘ
245,45.510481442827675,21.876081446710568,JUDEŢUL CARAŞ-SEVERIN,REMETEA-POGĂNICI,"UAT: FÂRLIUG, Localitate: REMETEA-POGĂNICI, Nr: 115 Etaj: Parter  Rampa: Da",Şcoala Primară Remetea-Pogănici
402,46.007423027367,21.92434646985892,JUDEŢUL ARAD,ZĂBALŢ,"UAT: USUSĂU, Localitate: ZĂBALŢ, Nr: 37 Etaj: Parter  Rampa: Da",Şcoala Primară Zăbalţ
108,46.9846224286582,24.182481995890175,JUDEŢUL BISTRIŢA-NĂSĂUD,CHIOCHIŞ,"UAT: CHIOCHIŞ, Localitate: CHIOCHIŞ, Nr: 17 Etaj: Parter  Rampa: Da",PRIMĂRIA COMUNEI CHIOCHIŞ
880,44.3957617677576,26.09274707332304,MUNICIPIUL BUCUREŞTI,BUCUREŞTI SECTORUL 5,"UAT: MUNICIPIUL BUCUREŞTI, Localitate: BUCUREŞTI SECTORUL 5, Artera: Strada Tufişului, Nr: 13 Etaj: Parter  Rampa: Da",ȘCOALA GIMNAZIALĂ NR.188
36,44.29191953897112,23.79979607811939,JUDEŢUL DOLJ,CRAIOVA,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Bulevardul Nicolae Romanescu (Strada Nicolae Romanescu), Nr: 99 Etaj: Parter  Rampa: Da",LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO
